id,song,hip hop,jazz,country,classical,festival,rock
42,Ella Fitzgerald - Bidin' My Time,0.004143,0.186988,0.103245,0.005636,0.047246,0.018461
43,Ella Fitzgerald - Darn That Dream,0.000921,0.149786,0.067789,0.000214,0.096987,0.133854
44,"Ella Fitzgerald - For You, For Me, For Evermore",0.001465,0.045501,0.266501,0.001487,0.048904,0.011843
45,Ella Fitzgerald - Love Walked In,0.002072,0.020615,0.171006,0.000872,0.063675,0.009043
46,The Business - Drinking And Driving,0.005449,0.057525,0.060465,0.000001,0.213183,0.157788
47,Robin Thicke - Lost Without U,0.617789,0.009384,0.002673,0.000015,0.095602,0.004232
48,Robin Thicke - Complicated,0.040514,0.073337,0.019209,0.000009,0.253521,0.008344
49,Dan Crary (Holiday) - What Child Is This (USA),0.000818,0.025135,0.011225,0.000371,0.240563,0.008083
50,Canned Heat (Holiday) - Christmas Blues,0.004724,0.096725,0.134277,0.000054,0.092607,0.335981
51,Earthless - Cherry Red,0.002013,0.050464,0.042764,0.00003,0.274902,0.558542
52,Beres Hammond? Flourgon - Bounce,0.319078,0.007814,0.00814,0,0.054517,0.0047
53,Beres Hammond? Flourgon - Feel Like,0.12177,0.003437,0.004471,0,0.276225,0.003701
54,The League - Hey Conductor,0.033547,0.031503,0.070458,0.000027,0.090496,0.064948
55,Eazy-E - Eazy-Er Said Than Dunn,0.474368,0.012066,0.002767,0.000002,0.028791,0.123967
56,Whitney Houston (Holiday) - Do You Hear What I Hear?,0.000752,0.045282,0.072983,0.00002,0.206955,0.129476
57,Whitney Houston (Holiday) - Joy To The World,0.004321,0.072002,0.020671,0.000095,0.29894,0.068521
58,Classified Project - Resurrection (Original),0.132439,0.028171,0.006064,0,0.078053,0.037385
59,Franco De Vita - Como Decirte No,0.026091,0.059404,0.022335,0,0.435749,0.023232
60,Doctor Ross - Tailor Made,0.006236,0.134918,0.065268,0.00035,0.032877,0.648762
61,"Funck, David - Suite In D",0.00025,0.018986,0.008236,0.32541,0.014376,0.005954
62,Livin' Joy - Don't Stop Movin',0.187552,0.041703,0.001284,0,0.316458,0.034754
63,Leroy Carr - My Woman's Gone Wrong,0.037054,0.265875,0.013195,0.000231,0.016636,0.029388
64,Leroy Carr - Sloppy Drunk Blues,0.069361,0.482002,0.010342,0.001446,0.13836,0.279342
65,Outkast - The Way You Move,0.006733,0.035571,0.016823,0.000029,0.132029,0.036077
66,Outkast - The Whole World,0.066396,0.011443,0.008449,0.000024,0.124011,0.063953
67,Outkast - I'll Call Before I Come (feat. Eco & Gangsta Boo),0.597071,0.002172,0.000064,0.000003,0.022094,0.022602
68,Outkast - Ms. Jackson,0.045423,0.070876,0.028336,0.000072,0.138288,0.069217
69,"Outkast - So Fresh, So Clean",0.093153,0.01066,0.004549,0.000007,0.08201,0.004317
70,Light This City - Exile,0.000458,0.029868,0.008071,0,0.067739,0.929511
71,Melvin Taylor - Texas Flood,0.093748,0.249373,0.002528,0.000024,0.072717,0.026855
72,The Orb - Once More (Bedrock Dub Mix),0.343066,0.078367,0.000804,0,0.095849,0.168154
73,Jens Lekman - The Wrong Hands,0.001629,0.001726,0.275521,0.000068,0.103085,0.053379
74,Nice & Smooth - Sometimes I Rhyme Slow,0.415678,0.016451,0.004149,0,0.337722,0.176307
75,Laura Pausini - Viveme,0.026523,0.013651,0.073332,0.000009,0.491058,0.024757
