id,song,festival
1421,The Rolling Stones - Gimme Shelter,0.251791
1426,Jr. Walker & The All Stars - Cleo's Mood,0.251572
493,Byron Cage - Breathe,0.251356
737,Band Of Horses - The First Song,0.250692
922,Rev Theory - Hell Yeah,0.249991
383,Simple Plan (Holiday) - My Christmas List,0.249988
1567,Staind - For You,0.249711
387,Chayanne - Y Tu Te Vas,0.247769
1190,Covenant - Figurehead,0.247715
1821,Sam Bush - Same Ol' River (live),0.247602
820,!!! (Chk Chk Chk) - All My Heroes Are Wierdos,0.246891
597,Sex Pistols - EMI,0.246845
927,Los Rieleros Del Norte - Abrazado De Un Poste,0.246719
816,Your Vegas - It Makes My Heart Break,0.246602
1228,The Blakes - Streets,0.246054
969,Enanitos Verdes - Lamento Boliviano,0.245786
469,Soda Stereo - Sueles Dejarme Solo,0.245458
652,Dan Deacon - Trippy Green Skull,0.245301
249,The Animals - Don't Bring Me Down,0.245222
91,Robbie Seay Band - Love Wins,0.2448
361,Assemblage 23 - Longevity,0.242914
1260,Mumbles - Prema's Dilema,0.242848
1736,Preston Reed - Ladies Night,0.242698
1846,Rilo Kiley - Breakin' Up,0.242462
745,Ian Van Dahl - Inspiration,0.242363
1578,Death Vessel - Dancers All,0.24095
1686,Reno & Smiley - I Saw Your Face In The Moon,0.240648
49,Dan Crary (Holiday) - What Child Is This (USA),0.240563
1849,Charanga La Tapa - Vamono's Pa'l Monte,0.240554
724,Fugazi - Target,0.240392
362,Assemblage 23 - Opened,0.239562
410,Wumpscut - Golgotha,0.238133
388,Willa Ford - I Wanna Be Bad,0.237601
646,Jay Reatard - We Who Wait,0.23659
527,John Danley - Hickory,0.236519
870,Anne Murray - Danny's Song,0.236497
786,Adele - Best For Last,0.236429
1549,Toots & The Maytals - Pressure Drop,0.235853
236,Victor Manuelle - Sin Querer Queriendo,0.23573
1623,Iron & Wine - Each Coming Night,0.235522
1124,Styx - Renegade,0.235373
1798,Paul Baloche - Your Name,0.23487
1848,Gerry & The Pacemakers - See You In September,0.234314
1776,Kate Nash - Habanera,0.233927
444,David Wilcox - Language Of The Heart,0.233627
30,Willie Colon & Ruben Blades - Pedro Navaja,0.232934
385,Chayanne - Dejaria Todo,0.2327
239,Empirical Labs - Turtle Beach (Original Mix),0.232358
1636,Rihanna - Umbrella,0.232097
1262,Our Brother The Native - We Are The Living,0.231702
1843,2Pac (Tupac) - Death Around The Corner,0.231654
1482,Young Jeezy - And Then What,0.231525
1149,Converge - For You (Live),0.230661
754,Ray Charles & The Count Basie Orchestra - I Can't Stop Loving You,0.229561
1644,Tokyo Police Club - Citizens Of Tomorrow,0.228808
251,The Animals - See See Rider,0.228582
214,Chuck Loeb - Fundamentally Sound,0.228147
599,Sex Pistols - Pretty Vacant,0.226264
1447,DJ Drama & Lil' Wayne - Get 'Em,0.225731
1707,"Lee Ann Womack (Holiday) - Baby It's Cold Outside (feat. Harry Connick, Jr.)",0.225469
1454,Say Hi To Your Mom - Blah Blah Blah,0.224274
1704,Robert Earl Keen - Feelin' Good Again (Live),0.224004
1470,Passion - You Never Let Go,0.223988
1811,Jarabe De Palo - Agua,0.223274
456,Skid Row - 18 And Life,0.223196
727,Fugazi - Suggestion,0.222941
486,Irish Rovers (Holiday) - The Holly Bears The Crown,0.222858
1080,AC?DC - Dirty Deeds Done Dirt Cheap,0.222581
396,Smokie Norful - Celebrate,0.222559
502,Fireball Ministry - In The Mourning,0.222486
1331,The Beatles - Things We Said Today,0.222467
1329,The Beatles - I'll Follow The Sun,0.222037
1727,Rachel Harrington - Shoeless Joe,0.220883
242,Sound Providers - Autumn's Evening Breeze,0.220001
1418,The Rolling Stones - Start Me Up,0.218633
1551,Toots & The Maytals - 54-46 That's My Number,0.216762
1270,The Roots - Love Of My Life (Live),0.21661
1302,Everton Blender - It's My Time,0.216512
284,The Jam - Don't Tell Them You're Sane,0.2162
895,Kidz In The Hall - The In Crowd,0.214355
1103,Ziggy Marley - Drive,0.214277
710,Krum Bums - Misery,0.214098
1557,Sarah McLachlan - Hold On (Live),0.213886
46,The Business - Drinking And Driving,0.213183
1751,la sonora dinamita ? la sonora tropicana - Mi Cucu,0.212347
574,Paul Oakenfold - Faster Kill Pussycat,0.212274
1390,Serena Ryder - Coconut Grove,0.211781
1084,AC?DC - Problem Child,0.211648
212,Leftover Salmon - Steam Powered Aeroplane (Live),0.211072
894,Sonicflood - I Want To Know You (In The Secret),0.209966
682,Will Smith - Gettin' Jiggy Wit It,0.209419
270,Lucy Kaplansky - Every Single Day,0.209119
