song,classical
Boccherini. Luigi - Symphony In E Flat Major. G. 513 (Op. 35?5),0.973792
Boccherini. Luigi - Cello Concerto In D Major. G. 483 (Op. 34),0.972241
Rachmaninov. Sergey - Symphony No. 2 in E minor. Op. 27,0.970097
Boccherini. Luigi - Sonata for cello & continuo in G major. G. 5 (Six Sonatas No. 3),0.969896
Strauss. Richard - Macbeth. Tone Poem For Orchestra. Op. 23 (TrV 163),0.967935
Boccherini. Luigi - Symphony In C Major. G. 495 (Op. 21?3),0.966679
"Dittersdorf. Karl Ditters von - Symphony After Ovid's ""Metamorphoses"" No. 1 In C Major (""Die Vier Weltalter"")",0.964019
Boccherini. Luigi - Quintet For Guitar & Strings In E Minor. G. 451 (arrangement Piano Quintet. G. 407),0.963989
Boccherini. Luigi - Symphony In B Flat Major. G. 493 (Op. 21?1),0.961583
Boccherini. Luigi - Quintet For Guitar & Strings In D Minor. G. 445 (arrangement Of Piano Quintet. G. 416),0.960166
Boccherini. Luigi - String Quartet In E Flat Major. G. 201 (Op. 32?1),0.956359
Boccherini. Luigi - Symphony In A Major. G. 498 (Op. 21?6),0.955408
Strauss. Richard - Eine Alpensinfonie (An Alpine Symphony) For Orchestra. Op. 64 (TrV 233),0.955159
Boccherini. Luigi - Minuet in A major. arrangements (after String Quintet in E major. Op.11?5 [aka Op. 13?5]. G. 275),0.953715
Rosetti. Antonio - Symphony In G Major. A 40?K 1 No 22,0.953518
Boccherini. Luigi - String Quartet In G Minor. G. 205 (Op. 32?5),0.952331
Boccherini. Luigi - Symphony In E Flat Major. G. 510 (Op. 35?2),0.950226
Markus Reuter - A Clue To Reality,0.948839
Couperin. Francois - Ignitum Eloquium Tuum. Motet Verset For 2 Sopranos. 2 Violins & Continuo (4 Versets D'un Motet),0.948058
Rachmaninov. Sergey - Symphonic Dances. for orchestra (or 2 pianos). Op. 45,0.946527
Rosetti. Antonio - Symphony In C Major. A 9?K 1 No 21,0.946373
Pichl. Vaclav - Symphony In C Major. Z21,0.946101
Schumann. Robert - Cello Concerto in A minor. Op. 129,0.943917
The Youth Choir Of Saint-Francois De Versailles (Holiday) - Guillo Take Your Tambourine,0.941523
Verdi. Giuseppe - Nabucco. Opera (Nabucodonosor),0.941226
"Boccherini. Luigi - Quintet For Guitar & Strings In C Major (""La Ritirada Di Madrid""). G. 453 (arrangement Of Piano Quintet. G. 409)",0.936967
Boccherini. Luigi - Cello Concerto In E Flat Major. G. 474,0.935979
Palmgren. Selim - May Night. For Piano,0.935348
Boccherini. Luigi - String Quartet In E Minor. G. 202 (Op. 32?2),0.934971
Mendelssohn. Fanny - String Quartet In E Flat Major,0.933168
Boccherini. Luigi - Quintet For Guitar & Strings In G Major. G. 450 (Arrangement Of Quintet For Flute And Strings. G. 531 & String Quartet. G. 240),0.928642
Robert Shaw Chorale (Holiday) - Carol Of The Bells ? Deck The Halls,0.927549
Deuter - Marfa Lights 1,0.919527
Boccherini. Luigi - Cello Concerto In D Major. G. 476,0.916198
Liquid Mind - In The Stillness,0.907021
Beck. Ignaz. Franz - Overture (Sinfonia) In G Major. Op. 1?5 (Callen 5),0.906772
Boccherini. Luigi - Symphony In D Major. G. 503 (Op. 12?1),0.90032
Boccherini. Luigi - Sonata for cello & continuo in C major. G. 17,0.899182
Chris Bocast - Quantum Entanglement,0.895122
Boccherini. Luigi - String Quartet In D Major. G. 165 (Op. 8?1),0.893819
Rachmaninov. Sergey - The Isle of the Dead. symphonic poem. Op. 29,0.888126
Faure. Gabriel - Piano Trio In D Minor. Op. 120,0.878628
Boyce. William - Trio Sonata No. 9 In C Major,0.878431
