song,jazz
Cannonball Adderley - You' re A Weaver Of Dreams,0.258983
Herman's Hermits - I'm Into Something Good,0.257361
Benny Carter - Laura,0.256874
Maynard Ferguson - The Wailing Boat (Live),0.254941
Chick Corea Elektric Band - Beneath The Mask,0.254776
The Smokin' Joe Kubek Band - Mean Old World,0.253267
Rachmaninov. Sergey - Piano Concerto No. 2 In C Minor. Op. 18,0.252075
Black Lips - O Katrina!,0.251689
The Association - Never My Love,0.250478
Paul Horn - Now Hear This,0.250003
Melvin Taylor - Texas Flood,0.249373
"Berwald. Franz - Symphony No. 2 In D. ""Sinfonie Capricieuse""",0.248636
Marvin Gaye - Sexual healing,0.247114
Creative Music Services Musicians (Holiday) - O Christmas Tree,0.246371
Nate Dogg (Holiday) - Be Thankful,0.246311
Cat Stevens - Wild World,0.246103
Sugarloaf - Green-Eyed Lady,0.245883
Boccherini. Luigi - Symphony In B Flat Major. G. 497 (Op. 21?5),0.245661
Tex Atchison - Tennessee Hound Dog,0.245553
Spyro Gyra - Believe,0.244784
Milt Jackson - The Song Is Ended,0.243429
Sharon Jones & The Dap-Kings - Be Easy,0.242918
Del Tha Funkee Homosapien - Burnt (feat. The Hyrogliphics),0.24189
Scratch - Square One (feat. Bilal),0.239549
Tim Track - Panic Voice,0.238388
"Dittersdorf. Karl Ditters von - Sinfonia In D Major. (""Il Combatiimento Delle Passioni Umani""). Grave D16",0.238152
Van Morrison - Tupelo Honey,0.237549
Tommy Jarrell - The Drunken Hiccups,0.237188
The Nomads - Situations,0.23501
Anita Ward - Ring My Bell,0.234765
Visionaries - Love (Hip-Hop),0.234667
John Scofield - Beep Beep,0.231694
Goodie Mob - The Day After,0.231212
Binary Finary - 1999,0.230927
The Animals - I Put A Spell On You,0.230355
Lowell Fulson - Reconsider Baby,0.229751
Stars Of The Lid - A Meaningful Moment Through A Meaning(Less) Process,0.229604
Dire Straits - So Far Away,0.22851
Mr. Scruff - Chipmunk,0.228298
Stevie Wonder - Do I Do,0.226917
"Mahler. Gustav - Symphony No. 6 in A minor (""Tragic"")",0.226505
John Scofield - Rule Of Thumb,0.226467
Rachmaninov. Sergey - Symphonic Dances. for orchestra (or 2 pianos). Op. 45,0.226233
Bing Crosby - You Must Have Been A Beautiful Baby,0.226189
Rachmaninov. Sergey - Piano Concerto No. 4 In G Minor. Op. 40,0.225034
The Soul Survivors - Hey Gyp,0.223909
David Massengill - My First Kiss,0.22339
Antonio Carlos Jobim - Tide,0.223321
Bunny Berigan - The Buzzard,0.222346
Lefty Frizzell - Saginaw. Michigan,0.220698
Robert Johnson - Traveling Riverside Blues,0.220504
Stevie Wonder - Higher Ground,0.220425
Rachmaninov. Sergey - The Isle of the Dead. symphonic poem. Op. 29,0.2198
Peaches & Herb - Shake Your Groove Thing,0.218865
Dittersdorf. Karl Ditters von - Concerto For Viola & Orchestra In F,0.218214
Seu Jorge - O Samba Tai,0.217491
Boccherini. Luigi - String Quartet in A major. G. 213 (Op. 39),0.216414
Glen Gray & The Casa Loma Orchestra - Who's Sorry Now?,0.215998
Seal - Wild,0.215834
Marvin Gaye - What's Going On,0.214857
Boccherini. Luigi - Symphony In C Major. G. 495 (Op. 21?3),0.214612
BBC Big Band Orchestra - On The Sunny Side Of The Street,0.214254
J.B. Lenoir - Louise,0.214082
Prince - I Wanna Be Your Lover,0.213715
Omens - Searching,0.211183
Covenant - Figurehead,0.211046
Strauss. Richard - Macbeth. Tone Poem For Orchestra. Op. 23 (TrV 163),0.209533
N.W.A. - Real Niggaz Don't Die,0.208947
The Manhattans - Kiss And Say Goodbye,0.208413
Gouryella - Walhalla,0.207873
The Paul Butterfield Blues Band - Love Her With A Feeling,0.207415
Otis Spann - Home To Mississippi,0.206985
Junior Brown - I Hung It Up,0.205268
Pete Fountain - High Society,0.205183
Jimmy Somerville - To Love Somebody,0.204333
Clifford Brown - Donna Lee (live),0.201933
Schumann. Robert - String Quartet No. 2 in F major. Op. 41?2,0.201407
Chick Corea Elektric Band - Passage,0.199637
Nine Inch Nails - Zero Sum (Stephen Morris & Gillian Gilbert Remix),0.199015
Buddy Bregman - Derek's Blues,0.197863
Harold Melvin & The Blue Notes - Don't Leave Me This Way,0.197076
Tony Bennett - What A Wonderful World,0.196004
Little Milton - My Back Scratcher,0.195304
As One - In The Arms Of You,0.194839
Josh White - Bonbons. Chocolate. And Chewing Gum,0.193905
Dan The Automator - Sleep,0.193286
Boccherini. Luigi - Symphony In D Major. G. 496 (Op. 21?4),0.192203
"Dittersdorf. Karl Ditters von - Sinfonia In A Major. (""Sinfonia Nazionale Nel Gusto Di Cinque Nazioni""). Grave A10",0.192061
The Allman Brothers Band - Long Time Gone,0.191907
Boccherini. Luigi - Symphony In E Flat Major. G. 513 (Op. 35?5),0.191364
The Dukes Of Dixieland - Sunrise. Sunset,0.191001
James Cotton - Take Me Back,0.190173
Boyce. William - Trio Sonata No. 9 In C Major,0.189602
"Mealli. Giovanni - Sonata For Violin & Continuo. Op. 3?6 (""La Sabbatina"")",0.189207
Lowell Fulson - No More. Pt. 1,0.187693
Ella Fitzgerald - Bidin' My Time,0.186988
Bonerama - Funky Miracle,0.186218
