id,song,jazz
808,Lee Ritenour & Larry Carlton - Crosstown Kids,0.351759
427,Scorpions - No One Like You,0.350993
1501,Kai Winding - Doodlin',0.350822
612,"Chopin, Fryderyk - Piano Sonata No. 3 in B minor, Op. 58, CT. 203",0.349593
113,Robert Johnson - I'm A Steady Rollin' Man,0.346959
163,Leftfield - Swords,0.346706
1047,Dave Biller & Jeremy Wakefield - Martian Guts,0.343867
1433,Eric Harringer & John Paul Lacey - Romance,0.343346
645,Jay Reatard - Turning Blue,0.342863
292,Josh White - New Milk Cow Blues,0.342128
1716,Junior Brown - Broke Down South Of Dallas,0.340997
495,Eddie Boyd - Best I Could,0.339346
1393,Marvin Sapp - Give Thanks,0.335881
137,"Lester Young - Jump, Lester, Jump",0.334522
550,Jeff Lorber - Chopsticks,0.332116
957,Tex Beneke - I Know,0.328181
1825,As One - Contours,0.327312
1169,Cal Tjader - Sambo Do Suenho,0.326603
1280,The David Grisman Quintet - Cedar Hill (live),0.326447
614,Rah - Wave,0.323173
1214,Les Brown And His Band Of Renown - The Sweetheart Of Sigma Chi,0.322446
78,"Schumann, Robert - Romances (3) for piano, Op. 28",0.319045
155,Justin Hinds & The Dominoes - Carry Go Bring Come (Rocksteady),0.315157
1600,Milt Jackson - Little Girl Blue (Live),0.31349
1527,"Marvin Gaye - Got To Give It Up, Part 1 ( Live)",0.312885
1462,Sonorous - Pronotonic,0.31275
281,Otis Spann - Rock Me Mama,0.310619
263,Antonio Carlos Jobim - Children's Games,0.310157
109,Robert Johnson - I Believe I'll Dust My Broom,0.308672
1694,"Fiorillo, Federigo - Concerto For Violin & Orchestra No 1 In F",0.305098
869,Willie Banks - God's Goodness,0.302354
590,Mickey Hart & Zakir Hussain - Funky Zena,0.301168
1765,Kenny Clarke's Sextet - Oblique,0.300037
517,Sonny Rollins - On A Slow Boat To China,0.299848
1497,Van Morrison - Gloria (Performed By Them),0.296883
626,Orchestral Manoeuvres In The Dark - If You Leave,0.296825
1358,"James Brown - Super Bad, PTS.1&2",0.29294
501,Kit McClure Band - One O'clock Jump,0.291349
97,John Zorn - Zhakor,0.286266
543,Black Lips - Boone,0.285417
1246,Tim O'Brien - Johnny Don't Get Drunk ? Rye Straw,0.284333
176,"Rachmaninov, Sergey - Symphony No. 2 in E minor, Op. 27",0.28361
789,Gotan Project - Vuelvo Al Sur,0.278912
1528,Marvin Gaye - Got To Give It Up,0.277583
895,Kidz In The Hall - The In Crowd,0.277265
1587,Hugo Montenegro & His Orchestra - Theme From A Fistful Of Dollars,0.276805
84,Asleep At The Wheel - Stay All Night,0.275356
1609,Ben Webster - Tenderly,0.274736
684,Jimmy Buffett - Come Monday,0.274431
1424,Fastball - Morning Star,0.2733
83,Asleep At The Wheel - Cotton-Eyed Joe,0.27267
173,"Rachmaninov, Sergey - Preludes (13) For Piano, Op. 32",0.272613
1677,Doc Watson - Billy In The Low Ground (Live),0.271814
172,"Rachmaninov, Sergey - Preludes (10) For Piano, Op. 23",0.271219
1059,Brian Eno - Zawinul ? Lava,0.271038
937,Wes Montgomery - Watch What Happens,0.270768
1226,"Cherubini, Luigi - String Quartet No. 6 In A Minor",0.270447
35,Ella Fitzgerald - Guilty,0.270076
732,Gene Ammons - My Romance,0.269768
938,Wes Montgomery - Road Song,0.269554
654,Heritage Hall Jazz Band (Holiday) - Silver Bells,0.26878
1813,Sam Bush - Big Mon,0.268585
640,Dean Martin - You're Nobody Till Somebody Loves You,0.267867
1659,George Acosta - Precious,0.267823
997,Ruben Studdard - Goin' Up Yonder,0.265945
63,Leroy Carr - My Woman's Gone Wrong,0.265875
1564,Traffic - Pearly Queen,0.265558
1814,Sam Bush - Harbor Docks,0.263489
312,Cal Bennett - Whole Soul Stroll (Live),0.263318
716,HH - Planetary,0.263214
107,Alexander O'Neal (Holiday) - The Christmas Song (Chestnuts Roasting On An Open Fire),0.262999
1657,George Acosta - Silence (DJ Tiesto's In Search Of Sunrise Remix),0.262887
259,Antonio Carlos Jobim - Amor Em Paz (Once I Loved),0.262084
1245,Houston Person - Two Rb's,0.261641
1821,Sam Bush - Same Ol' River (live),0.261553
888,Little Walter - Blue Baby Hard Times,0.260142
472,Benny Carter - Long Ago And Far Away,0.259747
477,Cannonball Adderley - You' re A Weaver Of Dreams,0.258983
297,Herman's Hermits - I'm Into Something Good,0.257361
471,Benny Carter - Laura,0.256874
301,Maynard Ferguson - The Wailing Boat (Live),0.254941
341,Chick Corea Elektric Band - Beneath The Mask,0.254776
693,The Smokin' Joe Kubek Band - Mean Old World,0.253267
